iter	RMSE
126	0.9824397154
127	0.9815816931
128	0.9806487248
129	0.9801223195
130	0.9794037209
131	0.9784470933
132	0.9778956835
133	0.9771550014
134	0.9764841115
135	0.9758730872
136	0.9752772752
137	0.9745817978
138	0.9738780438
139	0.9733780936
140	0.9727898029
141	0.9719781839
142	0.9713055385
143	0.9708139276
144	0.9702940923
145	0.9696641431
146	0.9690118495
147	0.9685642066
148	0.967630073
149	0.9669330782
150	0.9663857108
151	0.9657684066
152	0.9651577973
153	0.9644641171
154	0.963831432
155	0.9634024648
156	0.96268637
157	0.9620359656
158	0.9613309569
159	0.9606786879
160	0.960017557
161	0.9590084125
162	0.958284661
163	0.9574615435
164	0.9567705169
165	0.9560218367
166	0.9554381733
167	0.9547908705
168	0.9541791722
169	0.9536035874
170	0.9525408104
171	0.9518454883
172	0.9511937338
173	0.9506746331
174	0.9499440635
175	0.9493171348
176	0.948974747
177	0.9485127408
178	0.9478485985
179	0.9471371635
180	0.946517128
181	0.9458760901
182	0.9454019296
183	0.9447464001
184	0.9441056713
185	0.9432219959
186	0.9425607621
187	0.9419481975
188	0.9413588951
189	0.9405837613
190	0.940128909
191	0.939466083
192	0.938902519
193	0.9383267538
194	0.9377464433
195	0.9369516058
196	0.9362376961
197	0.9357772295
198	0.9353305236
199	0.9349073763
200	0.9343632992
201	0.9336309928
202	0.9328259406
203	0.9323837093
204	0.9316649385
205	0.9310699055
206	0.9303153544
207	0.9296106132
208	0.9290825657
209	0.9281633402
210	0.9276598027
211	0.9268583456
212	0.9264134829
213	0.9259478449
214	0.9253955234
215	0.9250163113
216	0.9244630045
217	0.923841972
218	0.9235399284
219	0.9231838725
220	0.9226919176
221	0.9216696599
222	0.9208796894
223	0.9203703822
224	0.9196618828
225	0.9189427732
226	0.9184138532
227	0.9178138107
228	0.9171166054
229	0.916629786
230	0.916137612
231	0.9155251574
232	0.9152801323
233	0.9145701574
234	0.9141236106
235	0.9136508008
236	0.9133738323
237	0.9127163437
238	0.9121531641
239	0.9114835982
240	0.9108191829
241	0.91034345
242	0.9098538137
243	0.909307263
244	0.908736579
245	0.9081727258
246	0.9076937543
247	0.907074613
248	0.906457005
249	0.9057137059
250	0.9052281716
251	0.9046752689
252	0.9041778847
253	0.9040219936
254	0.903423626
255	0.9028869756
256	0.9022655066
257	0.9019924045
258	0.9015784177
259	0.9010259492
260	0.9006282606
261	0.9002001647
262	0.8999707468
263	0.8997430291
264	0.8991595311
265	0.8985456682
266	0.8982957962
267	0.8978206163
268	0.8969876345
269	0.8965576712
270	0.896060669
271	0.8956065822
272	0.8950106893
273	0.8947298997
274	0.8942970106
275	0.8938806457
276	0.8933426473
277	0.8929213743
278	0.8922232356
279	0.8920153139
280	0.8916845687
281	0.8913629639
282	0.8908794788
283	0.890152556
284	0.8896469062
285	0.889197184
286	0.8884430105
287	0.8879559879
288	0.887487543
289	0.8869355964
290	0.8863340354
291	0.8860633037
292	0.8858468592
293	0.8852656686
294	0.8847477972
295	0.8842549036
296	0.8837881004
297	0.8830744909
298	0.8828860019
299	0.8824654621
300	0.8817494612
301	0.8812799914
302	0.8805971464
303	0.8800699937
304	0.8793297737
305	0.8788456203
306	0.8782810318
307	0.8778705331
308	0.8773240772
309	0.8769403211
310	0.8765447741
311	0.8760169334
312	0.875374622
313	0.8747311392
314	0.8743164421
315	0.8737054685
316	0.8730210144
317	0.8723977193
318	0.871871386
319	0.871402266
320	0.8710292761
321	0.8703806895
322	0.8700646875
323	0.8696581412
324	0.8692802477
325	0.8686593605
326	0.8683343798
327	0.8678332645
328	0.8674717727
329	0.8669143633
330	0.8665216692
331	0.8660808942
332	0.8653994887
333	0.8645502803
334	0.8641441714
335	0.8637154416
336	0.863182815
337	0.8628693677
338	0.8621229444
339	0.8617849094
340	0.8611434188
341	0.8606920626
342	0.8602822808
343	0.8596028526
344	0.8593723534
345	0.8588291991
346	0.8582732536
347	0.8579183264
348	0.8573960308
349	0.8568474158
350	0.8563808715
351	0.8555394036
352	0.8552035373
353	0.8546480845
354	0.8542579978
355	0.8537797874
356	0.8532712948
357	0.8527884874
358	0.8520525083
359	0.8515342135
360	0.8511103348
361	0.8507910554
362	0.8502667394
363	0.8494938317
364	0.8491979064
365	0.8487137142
366	0.848416665
367	0.8480625869
368	0.8477773006
369	0.8473778214
370	0.8470297535
371	0.8464208539
372	0.8460397928
373	0.8453968054
374	0.8448811985
375	0.844591626
376	0.8444075617
377	0.8438490812
378	0.8437317966
379	0.8432568257
380	0.8428790771
381	0.8422099491
382	0.8418152881
383	0.8414579144
384	0.8411464595
385	0.8406448585
386	0.8403162661
387	0.8400675477
388	0.8396863557
389	0.8393629522
390	0.8388954406
391	0.8381526693
392	0.8377620286
393	0.8373378696
394	0.8368671366
395	0.8364010051
396	0.8361685749
397	0.8360396979
398	0.8356409404
399	0.8353874449
400	0.834943737
401	0.8345875085
402	0.8341069026
403	0.8336013662
404	0.8329692541
405	0.8324560141
406	0.8322855848
407	0.831906502
408	0.8315628812
409	0.831216589
410	0.8306276427
411	0.8302550169
412	0.8299017848
413	0.8296166558
414	0.8290482578
415	0.828536175
416	0.8279258471
417	0.8277207803
418	0.8275970368
419	0.827161636
420	0.8266172679
421	0.8263037563
422	0.8257705744
423	0.8253110268
424	0.8248610554
425	0.8245011202
426	0.8241185209
427	0.8239375649
428	0.8234392773
429	0.8230133156
430	0.822174758
431	0.8215854363
432	0.821077894
433	0.8206721069
434	0.8202233024
435	0.819854317
436	0.8193038654
437	0.8190325803
438	0.8184506198
439	0.8179308156
440	0.8173632511
441	0.8169911337
442	0.8164823265
443	0.8162276658
444	0.815791873
445	0.8153178949
446	0.8145555472
447	0.8142021197
448	0.8137419278
449	0.8133057664
450	0.8130911133
451	0.8127023387
452	0.8119091925
453	0.8116101803
454	0.8113531272
455	0.8107008225
456	0.810236102
457	0.8098915854
458	0.8093584415
459	0.8089051612
460	0.8085759974
461	0.8082670872
462	0.8076934976
463	0.8071200005
464	0.8065072106
465	0.8061532429
466	0.8056658549
467	0.8051332097
468	0.8044398088
469	0.8041684953
470	0.8036290489
471	0.803078849
472	0.8027998806
473	0.802140043
474	0.8012533001
475	0.8009073828
476	0.8007019852
477	0.8002692594
478	0.7998165297
479	0.7992951734
480	0.7990216742
481	0.7985111418
482	0.7982580328
483	0.7974713552
484	0.7968429043
485	0.7960634748
486	0.7957307554
487	0.79536598
488	0.7948127386
489	0.7944096186
490	0.7939573592
491	0.7935428665
492	0.7931460605
493	0.79269565
494	0.7923217825
495	0.7918375294
496	0.7912765196
497	0.7909069445
498	0.7905423384
499	0.790149598
500	0.7898626021
501	0.7893533963
502	0.7887947249
503	0.7881817139
504	0.7874800618
505	0.787191695
506	0.7868299772
507	0.7866227282
508	0.7862259574
509	0.7858860989
510	0.7855182921
511	0.7849492756
512	0.7845362177
513	0.7841374409
514	0.7836902138
515	0.7834392353
516	0.783189543
517	0.7830227703
518	0.7828813535
519	0.7825270654
520	0.7821282568
521	0.7818148837
522	0.7814405977
523	0.780831344
524	0.7800308502
525	0.7797597905
526	0.7794096559
527	0.7788201928
528	0.7784967452
529	0.7783641616
530	0.7777658337
531	0.7770947998
532	0.7766897538
533	0.7763548445
534	0.7760470897
535	0.7756888141
536	0.7750861485
537	0.7746488655
538	0.774131346
539	0.7737036043
540	0.7731740733
541	0.7725578325
542	0.7721835627
543	0.7716681192
544	0.7712207787
545	0.7709317694
546	0.7703100837
547	0.7696471026
548	0.7693658075
549	0.7690880164
550	0.7688042979
551	0.7685047571
552	0.7681549621
553	0.7677982794
554	0.7671226784
555	0.7666347005
556	0.7661381584
557	0.7659329685
558	0.7657047362
559	0.765159365
560	0.7648504803
561	0.7643948788
562	0.7639347908
563	0.7637122638
564	0.763414529
565	0.7630486159
566	0.76278069
567	0.7625241
568	0.7622400346
569	0.7619705408
570	0.7614682886
571	0.7612628563
572	0.760914986
573	0.7606508344
574	0.7603709908
575	0.7597571648
576	0.7591480752
577	0.7587551249
578	0.7584686794
579	0.7581001451
580	0.7577345625
581	0.757426805
582	0.757004442
583	0.7566035221
584	0.7560560653
585	0.755500484
586	0.7553398725
587	0.7551177169
588	0.7548129501
589	0.7544102576
590	0.7538579292
591	0.7534795066
592	0.7531327865
593	0.7527060103
594	0.752277779
595	0.7519888138
596	0.7514365614
597	0.7508838649
598	0.7505626629
599	0.7501606551
600	0.7496568932
601	0.7491296751
602	0.7488332834
603	0.7486396177
604	0.74832923
605	0.7480794832
606	0.7477510546
607	0.7474361744
608	0.7471822012
609	0.7469656755
610	0.7463477813
611	0.7460864905
612	0.7456777028
613	0.7452146443
614	0.7448325527
615	0.7444575678
616	0.7441439802
617	0.7437809138
618	0.7435003315
619	0.742973643
620	0.7426605538
621	0.7422718996
622	0.7420495762
623	0.7413488523
624	0.7411043355
625	0.7406089476
626	0.7399483509
627	0.7395189086
628	0.7389978838
629	0.7387714986
630	0.7385621277
631	0.7380111307
632	0.7374865437
633	0.73730317
634	0.7371236041
635	0.7368537038
636	0.7365570728
637	0.7361788759
638	0.735902379
639	0.7353473592
640	0.7347816078
641	0.734327106
642	0.7340641053
643	0.733568901
644	0.7333089701
645	0.7329678453
646	0.7325413579
647	0.7323926991
648	0.7321571157
649	0.7318111889
650	0.7314947044
651	0.7312833199
652	0.7310405932
653	0.7305881505
654	0.7304347357
655	0.7300090163
656	0.7294687886
657	0.7289719832
658	0.7285137317
659	0.7279107337
660	0.7276623149
661	0.7272034042
662	0.7270404813
663	0.7267304228
664	0.7261739511
665	0.7258308985
666	0.725218918
667	0.7247508548
668	0.7243867541
669	0.7240839205
670	0.723902527
671	0.7235191062
672	0.7232966535
673	0.7229863916
674	0.7227853307
675	0.7223183148
676	0.7220914607
677	0.7219515198
678	0.7216726055
679	0.7214563357
680	0.7209281577
681	0.7207012255
682	0.720476396
683	0.7201466681
684	0.7198680154
685	0.71950722
686	0.7190949492
687	0.7187719865
688	0.7184193746
689	0.7181530843
690	0.7175501787
691	0.7172427207
692	0.7166952352
693	0.7163160618
694	0.7159436582
695	0.7156327355
696	0.715229363
697	0.7147594368
698	0.7145810082
699	0.7141820069
700	0.7138115211
701	0.7133296821
702	0.7129361555
703	0.7127478468
704	0.7125441143
705	0.7123340976
706	0.7119390906
707	0.7115667593
708	0.710980601
709	0.7105247075
710	0.7102874001
711	0.7100244999
712	0.7095041262
713	0.7092216927
714	0.7088855447
715	0.7085333474
716	0.708338517
717	0.7080614618
718	0.7077797326
719	0.7074378603
720	0.7072144516
721	0.7068686542
722	0.7065394536
723	0.7060816033
724	0.7058875333
725	0.7054400782
726	0.7049081562
727	0.7047476526
728	0.7044286561
729	0.7039796102
730	0.7037324399
731	0.7034371137
732	0.7029925694
733	0.70269865
734	0.7024207086
735	0.7021140795
736	0.7019257793
737	0.7015196473
738	0.7013426828
739	0.7009745836
740	0.7005434097
741	0.7000923731
742	0.6997696777
743	0.6993062213
744	0.6987970697
745	0.6984668715
746	0.6981721664
747	0.6979899889
748	0.6977640919
749	0.6972940366
750	0.6969598095
751	0.6967345062
752	0.6963498375
753	0.6959522292
754	0.6955982859
755	0.6951862241
756	0.6948066818
757	0.6943242585
758	0.694038295
759	0.6937061417
760	0.6934748518
761	0.6931396728
762	0.6927860525
763	0.6925121023
764	0.6922832508
765	0.692165016
766	0.692008601
767	0.6917946229
768	0.6914368934
769	0.6910103438
770	0.6908029169
771	0.6904095995
772	0.6900738027
773	0.6898478719
774	0.6894479996
775	0.6890399513
776	0.6887017097
777	0.6882154854
778	0.68783095
779	0.6875201217
780	0.6871269896
781	0.6866664438
782	0.6862933698
783	0.6860682681
784	0.6859705921
785	0.6857621036
786	0.6853215616
787	0.6850860302
788	0.6849064764
789	0.6844733982
790	0.6841554146
791	0.6839902789
792	0.6835839079
793	0.6832393012
794	0.6829293627
795	0.6826473526
796	0.6824334153
797	0.6821034543
798	0.6817831084
799	0.6814803059
800	0.6810246761
801	0.6807402803
802	0.6802221766
803	0.6799575965
804	0.679733399
805	0.6794331541
806	0.6791057401
807	0.6786926562
808	0.6784511087
809	0.6782225924
810	0.6779718649
811	0.6778979019
812	0.6775171824
813	0.6773070778
814	0.6770260788
815	0.6764513796
816	0.6759405813
817	0.6757525226
818	0.6753883212
819	0.6748945567
820	0.6746523624
821	0.6743661914
822	0.6740256348
823	0.6738588522
824	0.6733974342
825	0.6731031039
826	0.6729414894
827	0.6726235193
828	0.6722779294
829	0.6717461677
830	0.6713686635
831	0.671046465
832	0.6708626668
833	0.6706342355
834	0.6702639467
835	0.6699961817
836	0.669694494
837	0.6693242252
838	0.6689540638
839	0.6688196279
840	0.6684493472
841	0.6683719151
842	0.6680150259
843	0.6677661731
844	0.6675808836
845	0.6671569764
846	0.6669185954
847	0.6665386865
848	0.6662206772
849	0.6658237545
850	0.665644839
851	0.6651117845
852	0.6647739049
853	0.6645580916
854	0.6642580343
855	0.6640737559
856	0.6638640597
857	0.6636885888
858	0.6635609683
859	0.6631533291
860	0.6628885908
861	0.6624926411
862	0.6621781531
863	0.6617107623
864	0.661525351
865	0.6611096813
866	0.6607229545
867	0.660302877
868	0.6599454214
869	0.6595158496
870	0.6591127095
871	0.658641108
872	0.6582778015
873	0.6578499247
874	0.6577528518
875	0.6574930574
876	0.6570737188
877	0.6569257906
878	0.6565541035
879	0.6563252741
880	0.6560782872
881	0.6557632403
882	0.6555967123
883	0.6553157445
884	0.6548610582
885	0.6546476238
886	0.6541143718
887	0.6538548738
888	0.6535382419
889	0.6532441763
890	0.6528733392
891	0.6525866907
892	0.6522108882
893	0.6517387543
894	0.6514422279
895	0.6510724067
896	0.6508445382
897	0.6506527923
898	0.6502490441
899	0.6498303443
900	0.6496476991
901	0.6493852831
902	0.6490720462
903	0.6488443155
904	0.6487312204
905	0.6484365488
906	0.6480732618
907	0.6477939298
908	0.6474060837
909	0.6472080212
910	0.6467965631
911	0.6466508025
912	0.6463121262
913	0.6460455145
914	0.6457291763
915	0.6454496009
916	0.6451509651
917	0.6446450216
918	0.6443574273
919	0.6439862159
920	0.6436026432
921	0.6433947937
922	0.6430495353
923	0.6428342669
924	0.6426417755
925	0.6424475772
926	0.6421022409
927	0.6417816075
928	0.6415472506
929	0.6411059616
930	0.6406591885
931	0.6402656611
932	0.6400876811
933	0.6398175286
934	0.6394132605
935	0.6391846458
936	0.6390252597
937	0.6387017544
938	0.6382434538
939	0.6379690244
940	0.6377258653
941	0.637376962
942	0.6371230314
943	0.6367949893
944	0.6363917691
945	0.6360295216
946	0.6357288745
947	0.6354548877
948	0.6351669002
949	0.6347595442
950	0.6345476148
951	0.6342181736
952	0.6340490766
953	0.6337865448
954	0.6335447352
955	0.6333259393
956	0.6329552887
957	0.6326616353
958	0.6324521306
959	0.6323214527
960	0.6319975041
961	0.6317635797
962	0.6314642004
963	0.6311255752
964	0.6309743087
965	0.6305968317
966	0.63026858
967	0.6301144206
968	0.6299482096
969	0.6297131726
970	0.6293973521
971	0.629173972
972	0.6289928016
973	0.6287119643
974	0.6283757509
975	0.6280042231
976	0.6278241645
977	0.6275134205
978	0.627188992
979	0.6267819975
980	0.6264264781
981	0.6260831709
982	0.6257914608
983	0.6256498165
984	0.6254875491
985	0.6252724696
986	0.6249794751
987	0.6248305653
988	0.6247535816
989	0.6245026253
990	0.6241921302
991	0.6239267071
992	0.6236578548
993	0.6233351727
994	0.6231794297
995	0.6228883666
996	0.6224707198
997	0.6221420224
998	0.6217580147
999	0.6214196614
