trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
2024-02-02,002415.SZ,31.87,32.2,29.82,31.08,31.88,-0.8,-2.5094,335162.13,1041445.949
2024-02-05,002415.SZ,30.66,31.6,30.27,31.1,31.08,0.02,0.0644,377249.41,1170458.613
2024-02-06,002415.SZ,30.8,32.8,30.72,32.55,31.1,1.45,4.6624,417533.81,1340638.404
2024-02-07,002415.SZ,32.58,33.35,32.26,32.93,32.55,0.38,1.1674,376515.64,1243565.592
2024-02-08,002415.SZ,33.5,33.99,33.02,33.65,32.93,0.72,2.1865,414606.95,1397333.087
2024-02-19,002415.SZ,34.61,34.8,33.5,33.8,33.65,0.15,0.4458,378764.86,1290757.135
2024-02-20,002415.SZ,33.43,34.05,33.29,33.91,33.8,0.11,0.3254,262659.1,885972.732
2024-02-21,002415.SZ,33.61,34.48,33.51,33.98,33.91,0.07,0.2064,321610.25,1096765.76
2024-02-22,002415.SZ,34.24,34.66,34.11,34.32,33.98,0.34,1.0006,262064.72,900734.022
2024-02-23,002415.SZ,34.38,34.64,34.0,34.59,34.32,0.27,0.7867,278106.89,954374.008
2024-02-26,002415.SZ,34.57,34.82,34.25,34.29,34.59,-0.3,-0.8673,272813.92,941116.695
2024-02-27,002415.SZ,34.11,34.95,33.85,34.95,34.29,0.66,1.9248,385886.86,1329490.554
2024-02-28,002415.SZ,35.05,35.63,34.5,34.5,34.95,-0.45,-1.2876,423924.94,1487752.586
2024-02-29,002415.SZ,34.26,35.12,34.2,34.95,34.5,0.45,1.3043,347575.2,1208384.377
2024-03-01,002415.SZ,34.93,35.87,34.73,35.68,34.95,0.73,2.0887,470802.17,1670943.78
2024-03-04,002415.SZ,35.69,36.1,34.63,35.0,35.68,-0.68,-1.9058,517398.82,1817574.718
2024-03-05,002415.SZ,34.78,36.8,34.51,35.52,35.0,0.52,1.4857,694960.78,2478546.622
2024-03-06,002415.SZ,35.0,35.0,34.33,34.42,35.52,-1.1,-3.0968,522809.62,1806324.42
2024-03-07,002415.SZ,34.35,34.67,33.75,33.95,34.42,-0.47,-1.3655,372158.65,1271517.494
2024-03-08,002415.SZ,33.99,34.17,33.36,33.93,33.95,-0.02,-0.0589,335910.14,1134157.902
2024-03-11,002415.SZ,33.74,34.3,33.6,34.2,33.93,0.27,0.7958,347381.79,1180884.369
2024-03-12,002415.SZ,34.21,34.43,33.85,34.35,34.2,0.15,0.4386,403847.22,1379150.861
2024-03-13,002415.SZ,34.34,34.63,33.98,34.01,34.35,-0.34,-0.9898,353513.53,1212384.405
2024-03-14,002415.SZ,33.88,34.12,33.33,33.47,34.01,-0.54,-1.5878,328459.32,1106884.355
2024-03-15,002415.SZ,33.44,33.44,32.95,33.26,33.47,-0.21,-0.6274,413389.04,1367763.682
2024-03-18,002415.SZ,33.38,33.52,33.06,33.51,33.26,0.25,0.7517,403869.47,1342789.7
2024-03-19,002415.SZ,33.4,33.57,33.21,33.32,33.51,-0.19,-0.567,330921.39,1104319.651
2024-03-20,002415.SZ,33.2,33.48,33.11,33.47,33.32,0.15,0.4502,325440.15,1084146.682
2024-03-21,002415.SZ,33.5,33.62,33.26,33.36,33.47,-0.11,-0.3287,300981.04,1006108.466
2024-03-22,002415.SZ,33.3,33.3,32.61,32.73,33.36,-0.63,-1.8885,357876.66,1174244.097
2024-03-25,002415.SZ,32.7,33.45,32.51,32.65,32.73,-0.08,-0.2444,297496.46,980130.893
2024-03-26,002415.SZ,32.3,32.55,32.02,32.35,32.65,-0.3,-0.9188,274264.15,885220.718
2024-03-27,002415.SZ,32.35,32.8,32.03,32.45,32.35,0.1,0.3091,299123.88,973593.189
2024-03-28,002415.SZ,32.31,32.92,32.18,32.55,32.45,0.1,0.3082,280731.69,913308.088
2024-03-29,002415.SZ,32.42,32.69,32.0,32.16,32.55,-0.39,-1.1982,295148.44,951453.045
2024-04-01,002415.SZ,32.21,33.0,32.21,32.85,32.16,0.69,2.1455,394808.94,1294665.67
2024-04-02,002415.SZ,32.96,32.98,32.05,32.19,32.85,-0.66,-2.0091,346442.46,1122457.555
2024-04-03,002415.SZ,32.19,32.25,31.58,31.78,32.19,-0.41,-1.2737,343146.82,1091570.268
2024-04-08,002415.SZ,31.76,31.9,31.53,31.6,31.78,-0.18,-0.5664,227591.41,721381.304
2024-04-09,002415.SZ,31.58,31.94,31.31,31.84,31.6,0.24,0.7595,256286.7,810828.362
2024-04-10,002415.SZ,31.84,31.84,31.07,31.18,31.84,-0.66,-2.0729,263663.65,826806.666
2024-04-11,002415.SZ,31.06,31.46,30.92,31.24,31.18,0.06,0.1924,207556.98,648617.906
2024-04-12,002415.SZ,31.4,31.47,30.85,30.92,31.24,-0.32,-1.0243,249326.7,775707.174
2024-04-15,002415.SZ,30.63,31.46,30.63,31.19,30.92,0.27,0.8732,308070.06,961643.584
2024-04-16,002415.SZ,31.15,32.08,31.03,31.56,31.19,0.37,1.1863,486558.25,1542460.471
2024-04-17,002415.SZ,31.62,32.14,31.1,32.11,31.56,0.55,1.7427,397382.43,1263569.084
2024-04-18,002415.SZ,32.01,32.32,31.8,31.97,32.11,-0.14,-0.436,366001.63,1174964.272
2024-04-19,002415.SZ,31.86,32.19,31.41,32.1,31.97,0.13,0.4066,334379.04,1064415.313
2024-04-22,002415.SZ,31.7,33.1,31.67,32.85,32.1,0.75,2.3364,627859.07,2053586.166
2024-04-23,002415.SZ,32.9,32.97,32.3,32.6,32.85,-0.25,-0.761,346461.58,1125912.658
2024-04-24,002415.SZ,32.53,32.61,32.07,32.51,32.6,-0.09,-0.2761,309599.85,1002023.703
2024-04-25,002415.SZ,32.38,32.67,32.08,32.64,32.51,0.13,0.3999,318440.73,1030645.134
2024-04-26,002415.SZ,32.52,32.92,32.45,32.87,32.64,0.23,0.7047,466843.93,1528425.989
2024-04-29,002415.SZ,32.86,33.41,32.56,33.26,32.87,0.39,1.1865,489536.72,1622842.754
2024-04-30,002415.SZ,33.24,33.24,32.93,33.11,33.26,-0.15,-0.451,236632.79,783068.878
