trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
2024-01-02,000001.SZ,9.39,9.42,9.21,9.21,9.39,-0.18,-1.9169,1158366.45,1075742.252
2024-01-03,000001.SZ,9.19,9.22,9.15,9.2,9.21,-0.01,-0.1086,733610.31,673673.614
2024-01-04,000001.SZ,9.19,9.19,9.08,9.11,9.2,-0.09,-0.9783,864193.99,787470.082
2024-01-05,000001.SZ,9.1,9.44,9.07,9.27,9.11,0.16,1.7563,1991622.16,1852659.692
2024-01-08,000001.SZ,9.23,9.3,9.11,9.15,9.27,-0.12,-1.2945,1121156.19,1029006.549
2024-01-09,000001.SZ,9.16,9.19,9.09,9.18,9.15,0.03,0.3279,766193.88,700375.72
2024-01-10,000001.SZ,9.16,9.19,9.09,9.09,9.18,-0.09,-0.9804,858620.91,783771.15
2024-01-11,000001.SZ,9.08,9.22,9.03,9.17,9.09,0.08,0.8801,934686.37,853890.237
2024-01-12,000001.SZ,9.13,9.27,9.11,9.19,9.17,0.02,0.2181,772582.15,711018.266
2024-01-15,000001.SZ,9.16,9.29,9.13,9.21,9.19,0.02,0.2176,745132.66,685950.951
2024-01-16,000001.SZ,9.19,9.35,9.16,9.34,9.21,0.13,1.4115,1438312.58,1334465.409
2024-01-17,000001.SZ,9.33,9.39,9.23,9.23,9.34,-0.11,-1.1777,1482296.21,1380725.065
2024-01-18,000001.SZ,9.21,9.24,9.0,9.2,9.23,-0.03,-0.325,1755132.47,1597853.727
2024-01-19,000001.SZ,9.16,9.2,9.1,9.17,9.2,-0.03,-0.3261,963981.42,881865.024
2024-01-22,000001.SZ,9.16,9.26,9.04,9.1,9.17,-0.07,-0.7634,1580319.66,1449858.242
2024-01-23,000001.SZ,9.05,9.18,8.96,9.16,9.1,0.06,0.6593,1135544.58,1030898.421
2024-01-24,000001.SZ,9.23,9.34,9.07,9.33,9.16,0.17,1.8559,1759123.16,1620099.272
2024-01-25,000001.SZ,9.33,9.54,9.27,9.5,9.33,0.17,1.8221,2162513.95,2037648.413
2024-01-26,000001.SZ,9.47,9.67,9.44,9.62,9.5,0.12,1.2632,2272287.06,2172799.799
2024-01-29,000001.SZ,9.69,9.88,9.58,9.7,9.62,0.08,0.8316,2376251.84,2312173.346
2024-01-30,000001.SZ,9.61,9.7,9.49,9.5,9.7,-0.2,-2.0619,1579122.14,1515156.604
2024-01-31,000001.SZ,9.46,9.56,9.38,9.46,9.5,-0.04,-0.4211,1357217.47,1286857.397
2024-02-01,000001.SZ,9.41,9.48,9.34,9.41,9.46,-0.05,-0.5285,1055259.87,993481.907
2024-02-02,000001.SZ,9.42,9.47,9.07,9.27,9.41,-0.14,-1.4878,1634214.31,1520605.695
2024-02-05,000001.SZ,9.19,9.43,9.11,9.38,9.27,0.11,1.1866,1803591.9,1674566.499
2024-02-06,000001.SZ,9.3,9.68,9.29,9.68,9.38,0.3,3.1983,1995409.54,1900324.218
2024-02-07,000001.SZ,9.62,9.67,9.48,9.61,9.68,-0.07,-0.7231,2062014.97,1975435.102
2024-02-08,000001.SZ,9.58,9.67,9.52,9.67,9.61,0.06,0.6243,1656813.84,1593505.69
2024-02-19,000001.SZ,9.76,9.81,9.65,9.81,9.67,0.14,1.4478,1605242.65,1564088.445
2024-02-20,000001.SZ,9.79,9.84,9.73,9.82,9.81,0.01,0.1019,1123563.98,1098987.813
2024-02-21,000001.SZ,9.78,10.8,9.77,10.8,9.82,0.98,9.9796,5055284.6,5295259.397
2024-02-22,000001.SZ,10.65,10.91,10.62,10.9,10.8,0.1,0.9259,4922325.12,5307736.374
2024-02-23,000001.SZ,10.88,11.24,10.84,10.85,10.9,-0.05,-0.4587,3567479.5,3917316.282
2024-02-26,000001.SZ,10.78,10.88,10.5,10.53,10.85,-0.32,-2.9493,2862608.88,3048205.025
2024-02-27,000001.SZ,10.49,10.6,10.46,10.5,10.53,-0.03,-0.2849,1981904.92,2083027.074
2024-02-28,000001.SZ,10.51,10.7,10.4,10.49,10.5,-0.01,-0.0952,3082692.65,3253340.358
2024-02-29,000001.SZ,10.42,10.59,10.41,10.59,10.49,0.1,0.9533,1845344.23,1936020.983
2024-03-01,000001.SZ,10.59,10.6,10.43,10.49,10.59,-0.1,-0.9443,1828102.9,1917689.307
2024-03-04,000001.SZ,10.45,10.5,10.32,10.33,10.49,-0.16,-1.5253,1655929.54,1719562.862
2024-03-05,000001.SZ,10.3,10.47,10.26,10.43,10.33,0.1,0.9681,1817319.07,1889144.33
2024-03-06,000001.SZ,10.4,10.45,10.33,10.33,10.43,-0.1,-0.9588,1345640.16,1396940.06
2024-03-07,000001.SZ,10.33,10.64,10.33,10.38,10.33,0.05,0.484,2016165.89,2109589.237
2024-03-08,000001.SZ,10.35,10.44,10.3,10.38,10.38,0.0,0.0,1113974.28,1154491.251
2024-03-11,000001.SZ,10.38,10.47,10.34,10.47,10.38,0.09,0.8671,1210672.98,1260212.02
2024-03-12,000001.SZ,10.48,10.59,10.41,10.56,10.47,0.09,0.8596,1641262.37,1721999.708
2024-03-13,000001.SZ,10.53,10.55,10.3,10.33,10.56,-0.23,-2.178,1768039.11,1834654.994
2024-03-14,000001.SZ,10.3,10.38,10.2,10.23,10.33,-0.1,-0.9681,1409399.73,1448499.698
2024-03-15,000001.SZ,10.55,10.75,10.5,10.6,10.23,0.37,3.6168,3750207.89,3973799.131
2024-03-18,000001.SZ,10.56,10.61,10.49,10.54,10.6,-0.06,-0.566,1671396.51,1761249.15
2024-03-19,000001.SZ,10.53,10.54,10.39,10.4,10.54,-0.14,-1.3283,1293215.58,1351069.63
2024-03-20,000001.SZ,10.38,10.47,10.37,10.45,10.4,0.05,0.4808,872663.16,910278.573
2024-03-21,000001.SZ,10.45,10.52,10.42,10.47,10.45,0.02,0.1914,864466.25,905422.294
2024-03-22,000001.SZ,10.45,10.45,10.31,10.36,10.47,-0.11,-1.0506,1028141.74,1065535.606
2024-03-25,000001.SZ,10.35,10.49,10.32,10.4,10.36,0.04,0.3861,953202.21,993304.12
2024-03-26,000001.SZ,10.45,10.66,10.42,10.6,10.4,0.2,1.9231,1740021.46,1835376.191
2024-03-27,000001.SZ,10.56,10.63,10.51,10.53,10.6,-0.07,-0.6604,1274135.99,1347397.15
2024-03-28,000001.SZ,10.51,10.57,10.38,10.49,10.53,-0.04,-0.3799,1302188.92,1362980.388
2024-03-29,000001.SZ,10.45,10.57,10.43,10.52,10.49,0.03,0.286,872758.98,917332.316
2024-04-01,000001.SZ,10.52,10.65,10.51,10.64,10.52,0.12,1.1407,1191087.96,1261770.38
2024-04-02,000001.SZ,10.63,10.68,10.53,10.55,10.64,-0.09,-0.8459,1085458.26,1149700.8
2024-04-03,000001.SZ,10.53,10.55,10.42,10.46,10.55,-0.09,-0.8531,981845.85,1028648.883
2024-04-08,000001.SZ,10.42,10.49,10.37,10.43,10.46,-0.03,-0.2868,906360.52,945290.441
2024-04-09,000001.SZ,10.43,10.47,10.36,10.4,10.43,-0.03,-0.2876,857156.73,891468.991
2024-04-10,000001.SZ,10.38,10.41,10.27,10.28,10.4,-0.12,-1.1538,1246390.82,1288696.196
2024-04-11,000001.SZ,10.24,10.29,10.12,10.25,10.28,-0.03,-0.2918,1010213.4,1030820.137
2024-04-12,000001.SZ,10.22,10.27,10.04,10.06,10.25,-0.19,-1.8537,1305453.71,1322011.754
2024-04-15,000001.SZ,10.07,10.32,10.06,10.29,10.06,0.23,2.2863,1453202.6,1486326.196
2024-04-16,000001.SZ,10.28,10.39,10.22,10.28,10.29,-0.01,-0.0972,1478036.43,1523138.499
2024-04-17,000001.SZ,10.26,10.63,10.21,10.62,10.28,0.34,3.3074,2232640.57,2337576.587
2024-04-18,000001.SZ,10.58,11.03,10.56,10.8,10.62,0.18,1.6949,3165914.26,3427338.982
2024-04-19,000001.SZ,10.71,10.82,10.66,10.69,10.8,-0.11,-1.0185,1457675.02,1562376.147
2024-04-22,000001.SZ,10.64,10.81,10.45,10.5,10.69,-0.19,-1.7774,2009818.37,2125722.741
2024-04-23,000001.SZ,10.51,10.65,10.46,10.54,10.5,0.04,0.381,1240027.0,1308866.093
2024-04-24,000001.SZ,10.52,10.57,10.46,10.53,10.54,-0.01,-0.0949,941567.74,989093.538
2024-04-25,000001.SZ,10.5,10.62,10.48,10.61,10.53,0.08,0.7597,1113812.24,1176304.525
2024-04-26,000001.SZ,10.59,10.67,10.48,10.6,10.61,-0.01,-0.0943,1607627.51,1698581.437
2024-04-29,000001.SZ,10.56,10.9,10.52,10.81,10.6,0.21,1.9811,2169177.37,2337350.884
