date,code,open,close,high,low,volume,amount,amplitude,price-limit,change-amount,turn
2023-01-03,600519,1731.2,1730.01,1738.43,1706.01,26034,4487760231.0,1.88,0.17,3.01,0.21
2023-01-04,600519,1730.0,1725.01,1738.7,1716.0,20416,3523582306.0,1.31,-0.29,-5.0,0.16
2023-01-05,600519,1737.0,1801.0,1801.0,1733.0,47943,8541587089.0,3.94,4.41,75.99,0.38
2023-01-06,600519,1806.12,1803.77,1811.9,1787.0,24904,4480838898.0,1.38,0.15,2.77,0.2
2023-01-09,600519,1835.0,1841.2,1849.98,1807.82,30977,5684181147.0,2.34,2.08,37.43,0.25
2023-01-10,600519,1839.06,1854.45,1864.5,1830.5,22732,4204783734.0,1.85,0.72,13.25,0.18
2023-01-11,600519,1856.0,1844.95,1860.0,1836.84,22720,4201487773.0,1.25,-0.51,-9.5,0.18
2023-01-12,600519,1848.0,1834.0,1856.0,1833.0,17193,3162637136.0,1.25,-0.59,-10.95,0.14
2023-01-13,600519,1844.18,1887.0,1888.0,1840.0,31940,5969876222.0,2.62,2.89,53.0,0.25
2023-01-16,600519,1886.0,1912.9,1935.0,1881.0,36848,7059982640.0,2.86,1.37,25.9,0.29
2023-01-17,600519,1913.16,1908.0,1923.0,1895.0,21299,4068321409.0,1.46,-0.26,-4.9,0.17
2023-01-18,600519,1914.0,1893.0,1925.3,1890.0,21063,4008665438.0,1.85,-0.79,-15.0,0.17
2023-01-19,600519,1892.5,1880.21,1892.52,1866.0,23439,4401994437.0,1.4,-0.68,-12.79,0.19
2023-01-20,600519,1889.19,1860.01,1898.25,1858.0,25609,4807356071.0,2.14,-1.07,-20.2,0.2
2023-01-30,600519,1909.0,1888.0,1909.0,1880.0,35923,6799756571.0,1.56,1.5,27.99,0.29
2023-01-31,600519,1896.5,1845.76,1899.95,1833.07,32991,6128311548.0,3.54,-2.24,-42.24,0.26
2023-02-01,600519,1854.98,1844.97,1859.0,1811.4,33974,6244678925.0,2.58,-0.04,-0.79,0.27
2023-02-02,600519,1848.38,1836.11,1859.0,1826.0,29759,5465509510.0,1.79,-0.48,-8.86,0.24
2023-02-03,600519,1820.0,1818.0,1826.0,1795.68,34945,6324635031.0,1.65,-0.99,-18.11,0.28
2023-02-06,600519,1780.0,1795.0,1795.0,1760.0,42661,7595739044.0,1.93,-1.27,-23.0,0.34
2023-02-07,600519,1808.08,1797.0,1808.8,1787.73,24322,4373671735.0,1.17,0.11,2.0,0.19
2023-02-08,600519,1800.01,1784.0,1805.97,1775.0,16676,2980574806.0,1.72,-0.72,-13.0,0.13
2023-02-09,600519,1778.0,1818.0,1829.75,1775.01,29754,5401399088.0,3.07,1.91,34.0,0.24
2023-02-10,600519,1810.1,1810.0,1818.49,1801.05,17985,3253859317.0,0.96,-0.44,-8.0,0.14
2023-02-13,600519,1810.0,1856.35,1874.5,1810.0,38147,7058382498.0,3.56,2.56,46.35,0.3
2023-02-14,600519,1856.46,1843.79,1857.4,1835.0,19566,3601769574.0,1.21,-0.68,-12.56,0.16
2023-02-15,600519,1843.78,1841.0,1855.3,1835.81,18177,3351422211.0,1.06,-0.15,-2.79,0.14
2023-02-16,600519,1841.34,1861.82,1887.0,1828.0,33246,6196915130.0,3.2,1.13,20.82,0.26
2023-02-17,600519,1850.16,1820.78,1873.0,1820.05,26443,4880328952.0,2.84,-2.2,-41.04,0.21
2023-02-20,600519,1821.0,1875.0,1878.8,1817.2,29669,5488800056.0,3.38,2.98,54.22,0.24
2023-02-21,600519,1874.0,1867.0,1874.0,1851.0,18751,3491633510.0,1.23,-0.43,-8.0,0.15
2023-02-22,600519,1855.01,1836.0,1863.9,1831.8,21869,4031016045.0,1.72,-1.66,-31.0,0.17
2023-02-23,600519,1840.0,1818.0,1848.8,1805.25,21881,3983991208.0,2.37,-0.98,-18.0,0.17
2023-02-24,600519,1810.11,1788.0,1810.19,1782.18,24635,4415621498.0,1.54,-1.65,-30.0,0.2
2023-02-27,600519,1778.5,1810.41,1815.0,1775.02,22065,3978128676.0,2.24,1.25,22.41,0.18
2023-02-28,600519,1819.0,1813.74,1822.01,1783.3,23952,4314877096.0,2.14,0.18,3.33,0.19
2023-03-01,600519,1813.0,1838.53,1848.0,1803.23,24458,4475592195.0,2.47,1.37,24.79,0.19
2023-03-02,600519,1829.0,1828.0,1838.99,1821.1,13144,2405292304.0,0.97,-0.57,-10.53,0.1
2023-03-03,600519,1839.77,1818.04,1841.61,1802.48,16198,2946842659.0,2.14,-0.54,-9.96,0.13
2023-03-06,600519,1818.18,1807.14,1818.5,1796.77,20646,3730079522.0,1.2,-0.6,-10.9,0.16
2023-03-07,600519,1805.98,1788.3,1816.6,1788.0,22785,4101302456.0,1.58,-1.04,-18.84,0.18
2023-03-08,600519,1780.02,1770.42,1785.94,1761.12,22764,4035787172.0,1.39,-1.0,-17.88,0.18
2023-03-09,600519,1768.0,1770.02,1785.0,1740.0,27612,4881442710.0,2.54,-0.02,-0.4,0.22
2023-03-10,600519,1751.57,1750.0,1781.0,1750.0,21161,3725139075.0,1.75,-1.13,-20.02,0.17
2023-03-13,600519,1751.0,1762.0,1775.0,1749.0,20560,3626476291.0,1.49,0.69,12.0,0.16
2023-03-14,600519,1763.78,1766.0,1779.88,1738.5,23705,4177289027.0,2.35,0.23,4.0,0.19
2023-03-15,600519,1778.37,1750.92,1784.88,1750.12,19213,3392698490.0,1.97,-0.85,-15.08,0.15
2023-03-16,600519,1740.0,1751.99,1770.0,1739.01,17646,3096791142.0,1.77,0.06,1.07,0.14
2023-03-17,600519,1770.0,1742.0,1775.89,1736.0,27023,4744249369.0,2.28,-0.57,-9.99,0.22
2023-03-20,600519,1751.0,1729.6,1755.0,1728.0,20491,3557872017.0,1.55,-0.71,-12.4,0.16
2023-03-21,600519,1735.0,1775.0,1785.85,1723.97,31142,5491052284.0,3.58,2.62,45.4,0.25
2023-03-22,600519,1780.0,1773.35,1793.0,1765.55,15330,2727648674.0,1.55,-0.09,-1.65,0.12
2023-03-23,600519,1766.0,1774.86,1791.11,1765.01,17356,3082821551.0,1.47,0.09,1.51,0.14
2023-03-24,600519,1769.08,1778.62,1783.6,1766.0,12770,2269649179.0,0.99,0.21,3.76,0.1
2023-03-27,600519,1778.6,1767.79,1778.6,1756.0,15296,2700755933.0,1.27,-0.61,-10.83,0.12
2023-03-28,600519,1770.0,1781.8,1790.0,1765.02,17261,3073113077.0,1.41,0.79,14.01,0.14
2023-03-29,600519,1799.0,1790.0,1800.0,1785.07,15393,2761909333.0,0.84,0.46,8.2,0.12
2023-03-30,600519,1793.0,1800.0,1805.0,1779.0,19257,3453573052.0,1.45,0.56,10.0,0.15
2023-03-31,600519,1825.0,1820.0,1848.0,1819.0,27446,5024790356.0,1.61,1.11,20.0,0.22
2023-04-03,600519,1825.0,1802.07,1827.77,1800.08,21417,3875811673.0,1.52,-0.99,-17.93,0.17
2023-04-04,600519,1812.0,1814.59,1815.17,1787.0,20066,3614275263.0,1.56,0.69,12.52,0.16
2023-04-06,600519,1805.0,1796.96,1815.9,1788.22,14874,2676251956.0,1.53,-0.97,-17.63,0.12
2023-04-07,600519,1795.0,1790.99,1806.01,1788.34,13525,2428160574.0,0.98,-0.33,-5.97,0.11
2023-04-10,600519,1790.88,1771.7,1790.88,1744.0,29418,5171150567.0,2.62,-1.08,-19.29,0.23
2023-04-11,600519,1793.0,1745.5,1793.0,1744.0,29209,5138854627.0,2.77,-1.48,-26.2,0.23
2023-04-12,600519,1747.26,1694.1,1750.0,1692.82,51105,8732657376.0,3.28,-2.94,-51.4,0.41
2023-04-13,600519,1690.0,1723.0,1723.59,1684.01,29543,5049310126.0,2.34,1.71,28.9,0.24
2023-04-14,600519,1726.0,1713.42,1733.0,1704.8,21232,3646526766.0,1.64,-0.56,-9.58,0.17
2023-04-17,600519,1740.0,1753.0,1753.0,1728.0,30467,5303401395.0,1.46,2.31,39.58,0.24
2023-04-18,600519,1753.0,1758.0,1769.0,1746.02,18314,3220107647.0,1.31,0.29,5.0,0.15
2023-04-19,600519,1762.0,1759.0,1765.5,1750.0,14601,2568632845.0,0.88,0.06,1.0,0.12
2023-04-20,600519,1760.11,1741.88,1765.0,1729.0,19885,3468366835.0,2.05,-0.97,-17.12,0.16
2023-04-21,600519,1746.0,1725.47,1748.08,1721.28,18518,3210937222.0,1.54,-0.94,-16.41,0.15
2023-04-24,600519,1721.0,1705.0,1722.0,1701.0,20231,3456728718.0,1.22,-1.19,-20.47,0.16
2023-04-25,600519,1706.0,1730.38,1735.98,1702.0,20583,3534989917.0,1.99,1.49,25.38,0.16
2023-04-26,600519,1744.0,1743.91,1761.0,1720.0,27892,4861477657.0,2.37,0.78,13.53,0.22
2023-04-27,600519,1748.0,1757.92,1770.0,1730.0,25605,4489906864.0,2.29,0.8,14.01,0.2
2023-04-28,600519,1763.01,1760.52,1782.77,1753.97,26225,4636084177.0,1.64,0.15,2.6,0.21
2023-05-04,600519,1769.0,1749.9,1777.67,1736.0,27466,4818999650.0,2.37,-0.6,-10.62,0.22
2023-05-05,600519,1766.0,1750.0,1766.0,1736.39,20714,3621305973.0,1.69,0.01,0.1,0.16
2023-05-08,600519,1768.32,1720.52,1769.0,1717.17,33171,5742915994.0,2.96,-1.68,-29.48,0.26
